Title,Caption,Copyright,Node Type
London Conference on Afghanistan (2010),"His Excellency Hamid Karzai, President of the Islamic Republic of Afghanistan at Lancaster House speaking at the London Conference on Afghanistan.",Newsteam.co.uk/Crown Copyright,event
Revitalisation of Forodhani Park in Zanzibar’s Historic Stone Town,"Prince Amyn Aga Khan and Zanzibar’s First Lady, Her Excellency Madame Shadya Karume, walk across Forodhani Park during the inauguration ceremony.",AKDN/Zahur Ramji,event
Aga Khan's Golden Jubilee Visit to Madagascar,His Highness the Aga Khan meeting with the President of the National Assembly Jacques Sylla at the National Assembly.,AKDN/Zahur Ramji,event
Example Event,,,event
"Conference on Central Asia and Europe, Berlin","His Highness the Aga Khan delivers the keynote address at the Conference, entitled, “Central Asia and Europe: A New Economic Partnership for the 21st Century” hosted by the German Federal Foreign Office and the United Nations Economic Commission for Europe (UNECE). Germany’s Foreign Minister, Frank-Walter Steinmeier, Executive Secretary of the UN European Commission for Europe, Marek Belka and the European Commission’s External Relations Commissioner, Benita Ferrero-Waldner.",AKDN/Arnhel de Serra,event
Foundation stone-laying ceremony of the Bujagali hydropower project,"His Highness the Aga Khan and His Excellency President Yoweri Museveni of Uganda, lay the foundation stone for the Bujagali Hydropower Project, Jinja. The US$ 770 million project is the country’s first private hydroelectric power project, and is expected to significantly lower the price of electricity in Uganda. The plant is also one of the largest independent power plants in sub-Saharan Africa.",AKDN/Gary Otte,event
Aga Khan receives David Rockefeller Bridging Leadership Award,Synergos Founder and Chairperson Peggy Dulany presenting the David Rockefeller Bridging Leadership Award to His Highness the Aga Khan. ,JMB Photographic Ltd,event
Aga Khan visits Singapore,"His Highness the Aga Khan is greeted by the Prime Minister of Singapore, Mr Lee Hsien Loong.",AKDN / Amir Hakim,event
Aga Khan visits Malaysia,"In the presence of His Highness the Aga Khan, Minister Dato Seri Utama Dr Rais Yatim cuts the ribbon to officially open the Aga Khan Museum exhibition at the Islamic Arts Museum Malaysia.",AKDN / Gerald Friedli,event
Inauguration of Kyrgyz President,His Highness the Aga Khan congratulates President Almazbek Atambaev on his official inauguration as President of the Kyrgyz Republic. ,Artur Boldjurov    ,event
