"Title","Caption","Copyright","Node Type"
"Aga Khan Hospital launches chemotherapy facility in Mombasa","An outside view of the Aga Khan Hospital, Mombasa (AKHS)","AKDN/Jean-Luc Ray","In the media"
"Aga Khan to open 30 outreach centres throughout Tanzania","The Aga Khan Health Care Centre in Mwanza is one of several primary health service facilities operated by the Aga Khan Health Services in Tanzania. The centre provides a range of services including outpatient care and free maternal and child health services in collaboration with the Government. ","AKDN / Lucas Cuervo Moura","In the media"
"Aga Khan honoured for commitment to architecture ","His Highness the Aga Khan, recipient of the 2013 Royal Architectural Institute of Canada Gold Medal, poses for a photograph with George Baird, 2010 Gold Medal recipient and Paul Frank, President of RAIC.","AKDN / Farhez Rayani","In the media"
"AKUH starts kidney transplant program","Founded by His Highness the Aga Khan and chartered in 1983 as Pakistan's first private university, Aga Khan University's (AKU) objective is to promote human welfare in general, and the welfare of the people of Pakistan in particular, by disseminating knowledge and providing instruction, training, research and service in the health sciences, education and such other branches of learning as the University may determine. ","AKDN/Garry Otte","In the media"
"AKU to invest $500 million in Education City project ","Founded by His Highness the Aga Khan and chartered in 1983 as Pakistan's first private university, Aga Khan University's (AKU) objective is to promote human welfare in general, and the welfare of the people of Pakistan in particular, by disseminating knowledge and providing instruction, training, research and service in the health sciences, education and such other branches of learning as the University may determine. ","AKDN/Garry Otte","In the media"
"Doctors perform operation to treat rare heart condition","The Aga Khan University Hospital, Nairobi, Kenya. ","AKDN / Zahur Ramji    ","In the media"
"Dubai opens window to priceless Islamic legacy","Artist-rendering of the Aga Khan Museum and their park, situated along Wynford Drive adjacent to the Don Valley Parkway in Toronto.","Imara Wynford Drive    ","In the media"
"New telecom firm offers lowest price","Telco launch","AKDN","In the media"
"Heart exercises to help curb disease","An outside view of the Aga Khan Hospital, Mombasa (AKHS)","AKDN/Jean-Luc Ray","In the media"
"AKF builds large vegetable storage facility in Muminobod","AKF builds large vegetable storage facility in Muminobod","AKDN/Jiyokhon Zulfiev","In the media"
"Aga Khan, speaking at Brown, sees virtue in social media, Internet ","His Highness the Aga Khan delivers the 88th Ogden Memorial Lecture in International Affairs at Brown University. ","AKDN / Farhez Rayani","In the media"
"Residents laud Bujagali Energy for services","The Bujagali Hydropower project, which now supplies almost 50 percent of the electricity of Uganda.","AKDN","In the media"
"Canada’s medium and the Aga Khan’s message ","His Highness the Aga Khan and Prime Minister Stephen Harper meet in the Prime Minister’s office ahead of the Aga Khan’s address to the Canadian Parliament.","AKDN / Zahur Ramji","In the media"
"Shia Muslim leader Aga Khan gets 'repeated' standing ovation in Canada House of Commons","His Highness the Aga Khan and Prime Minister Stephen Harper sign a Protocol of Understanding between the Ismaili Imamat and the Government of Canada in the Hall of Honour at the Canadian Parliament.","AKDN / Zahur Ramji","In the media"
"Aga Khan inspires hope in EA region ","His Highness the Aga Khan and Ambassador Dr. Richard Sezibera, the Secretary General of the East African Community pose for a photograph with officials from the AKDN and the EAC at the Arusha International Conference Centre.","AKDN / Zahur Ramji","In the media"
