"Title","Caption","Copyright","Node Type"
"Muhammad Yunus","","","person"
"Nayyar Ali Dada","","","person"
"Adhi Moersid","","","person"
"Charles Jencks","","","person"
"Peter Eisenman","","","person"
"Balkrishna V. Doshi","","","person"
"Dogan Tekeli","","","person"
"Dogan Tekeli","","","person"
"Yuswadi Saliya","","","person"
"Romi Khosla","","","person"
"Darmawan Prawirohardjo","","","person"
"Mehmet Konuralp","","","person"
"Ismaël Serageldin ","","","person"
"Charles Moore","","","person"
"Ronald Lewcock","","","person"
"John de Monchaux","","","person"
"Saïd Zulfikar","","","person"
"Fumihiko Maki","","","person"
"Nurcholish Madjid","","","person"
"Renata Holod","","","person"
"Bernard Feilden","","","person"
"Alvaro Siza","","","person"
"Fredric Jameson","","","person"
"Arata Isozaki","","","person"
"Arif Hasan","","","person"
"Ricardo Legorreta","","","person"
"Zahi Hawass","","","person"
"Mona Hatoum","","","person"
"Dogan Hasol","","","person"
"Darab Diba","","","person"
"Peter G. Rowe","","","person"
"Babar Khan Mumtaz","","","person"
"Abdou Filali-Ansary","","","person"
"Charles Correa","Charles Correa.","AKDN / Al-Nur Sunderji    ","person"
"Glenn Murcutt","","","person"
"Norani Othman","","","person"
"Raj Rewal","","","person"
"Saleh Al-Hathloul","","","person"
"Mohammed Arkoun","Mohammed Arkoun. ","AKDN / Gary Otte","person"
"Selma al-Radi","","","person"
"Ali Shuaibi","","","person"
"Azim Nanji","Azim Nanji.  ","AKDN / Denis Drever    ","person"
"Luis Monreal","Luis Monreal.","AKDN / Alex Moi ","person"
"Zaha Hadid","","","person"
"Frank O. Gehry","","","person"
"Kenneth Frampton","","","person"
"Akram Ab Hamdan","","","person"
"Nurjehan Mawani","","","person"
"Nader Ardalan","","","person"
"Mahbub ul-Haq","","","person"
"Kenzo Tange","","","person"
"Aptullah Kuran","","","person"
"Muzharul Islam","","","person"
"Titus Burckhardt","","","person"
"Kamil Khan Mumtaz","","","person"
"Mohammed Makiya","","","person"
"Dogan Kurban","","","person"
"Garr Campbell","","","person"
"Hassan Fathy","","","person"
"Giancarlo de Carlo","","","person"
"Rt. Hon. Adrienne Clarkson","","","person"
"Christina Paxson","","","person"
"Dr. Ishrat Ul bad Khan, Governor of Sindh","","","person"
"Suha Özkan, Secretary General of the AKAA","","","person"
"1980 cycle - Hassan Fathy","","","person"
"1986 cycle - Rifat Chadirji","","","person"
"2001 cycle - Geoffrey Bawa","","","person"
"2010 cycle - Professor Oleg Grabar","","","person"
"Mona Serageldin","","","person"
"Hugh Casson","","","person"
"Sherban Cantacuzino","","","person"
"Parid Wardi bin Sudin","","","person"
"Mahdi Elmandjra","","","person"
"Hasan-Uddin Khan","","","person"
"William Porter","","","person"
"Hasan Poerbo","","","person"
"Saad Eddin Ibrahim","","","person"
"Oleg Grabar","","","person"
"Kamran Diba","","","person"
"Geoffrey Bawa","","","person"
"Rasem Badran","","","person"
"Abdel Wahed el-Wakil","","","person"
"Hans Hollein","","","person"
"Zahir Ud-deen Khwaja","","","person"
"James Stirling","","","person"
"Roland Simounet","","","person"
"Mübeccel Kiray","","","person"
"Habib Fida-Ali","","","person"
"Rifat Chadirji","","","person"
"Turgut Cansever","","","person"
"Robert Venturi","","","person"
"Soedjatmoko","","","person"
"Mehmet Doruk Pamir","","","person"
"Esin Atil","","","person"
"Jafar Tukan","Jafar Tukan.  ","AKDN / Gary Otte","person"
"H.E. Prof. Nadiri, Co-Chair of the Steering Comittee","","","person"
"Prof. Adriano Moreira","","","person"
"Prof. Manuel Ferreira Patricio","","","person"
"Pdt Jorge Sampaio","","","person"
"Foreign Minister Steinmeier","","","person"
"Dr. Y. S. Rajasekhara Reddy","","","person"
"H.E. Dr. Mohammad J. Shams","","","person"
"H.E. Prime Minister Shaukat Aziz","","","person"
"Praful Patel","","","person"
"H.E. Ahmad Zia Massoud","","","person"
"Nizar Juma","","","person"
"H.E. Emomali Rahmon","","","person"
"Prince Hussain Aga Khan","","","person"
"Dr. S. Kassim-Lakha","","","person"
"Pdt Rafiq Tarar","","","person"
"Aly Mawji, AKDN Country Co-ordinator for Afghanistan","","","person"
"Frédéric Mitterrand","","","person"
"H.E. Armando Emilio Guebuza","","","person"
"Prince Rahim Aga Khan","","","person"
"H.E. Roza Otunbaeva","","","person"
"Dov Zerah, Chief Executive Officer of Agence Française de Développement (AFD)","","","person"
"Dov Zerah","","","person"
"Hon. Abdullah A. Badawi","","","person"
"HRH The Prince of Wales","","","person"
"H.E. Hon. Mwai Kibaki ","","","person"
"Dr. Peter George","","","person"
"Pr. Arentes e Oliveira","","","person"
"Rt. Hon. Stephen Harper","","","person"
"John Ralston Saul","","","person"
