"Title","Caption","Copyright","Node Type"
"AKU and University of Alberta expand partnership; Aga Khan receives Honorary Degree and will be granted Honorary Canadian Citizenship","His Highness the Aga Khan delivering his Convocation address at the University of Alberta in Edmonton on June 9, 2009.","AKDN/Moez Visram","Press Release"
"Microfinance helps poor families build safer housing in Pakistan","BACIP created fuel-efficient stoves with water warming facilities attached that use the same fuel. These stoves are not only energy-efficient but also smoke-free, which reduces the incidence of acute respiratory infection, pneumonia and other health related disease in women and children by up to 50 percent, especially during winters.","AKDN","Press Release"
"Focus Humanitarian Assistance provides relief for landslide victims in Hunza, Pakistan","Volunteers offloading medicines and relief goods received for Gojal.","FOCUS","Press Release"
"Aga Khan Agency for Microfinance expands in Damascus, Syria","FMFI-S is the leading private-sector microfinance provider in Syria, providing access to financial services to its poorest and most marginalised populations.","AKDN / Jean-Luc Ray","Press Release"
"The First MicroFinanceBank Ltd and Pakistan Post Office agree to expand microfinance services for the poor","The Aga Khan Agency for Microfinance (AKAM) has been developing insurance products for the poor since mid-2005","AKDN","Press Release"
"Aga Khan Museum collection in Berlin, Germany","Episode from the story of Haftvad and the Worm. Folio 521v from the Shahnama made for Shah Tahmasp I (r.1524-1576). Tabriz, Iran, about 1540. 45x30 cm.","AKTC","Press Release"
"Aga Khan announces a Graduate School of Media and Communications","His Highness the Aga Khan delivering the Founder’s Address at the Pan Africa Media conference, celebrating the 50th Anniversary of the Nation Media Group.","AKDN / Gary Otte","Press Release"
"The First MicroBank Mozambique is inaugurated as a rural microfinance bank","President Armando Guebuza of Mozambique signs the AKDN guest book following the signing of the agreement announcing the opening of the First Micro Finance Bank in Mozambique as Nazim Ahamed, AKDN Representative and Jacques Toureille of the Aga Khan Agency for Microfinance (AKAM) look on. ","AKDN","Press Release"
"Aga Khan Award for Architecture shortlists 19 Projects + New Award Microsite + On-line Press Kit","The Wadi Hanifa Wetlands in Riyadh, Saudi Arabia. A programme of works that aims to restore and develop Wadi Hanifa as an environmental, recreational and tourism resource was a 2010 cycle Award recipient.","Aga Khan Award for Architecture","Press Release"
"Media Advisory: Aga Khan to launch new institutions in Toronto, Canada","Artist-rendering of the Aga Khan Museum and their park, situated along Wynford Drive adjacent to the Don Valley Parkway in Toronto.","Imara Wynford Drive    ","Press Release"
"Foundation Ceremony of the Ismaili Centre, the Aga Khan Museum and their Park (Press Release)","","","Press Release"
