"Title","Caption","Copyright"
"International New York Times Athens Democracy Forum","His Highness the Aga Khan speaking at the Stoa of Attalos in Athens where he delivered a Keynote Address at the Athens Democracy Forum on the International Day of Democracy.","AKDN / Gary Otte"
"AKDN statement at the Sixth Regional Economic Cooperation Conference on Afghanistan","Since its restoration by the Aga Khan Trust for Culture, the Bagh-e-Babur has attracted over 400,000 visitors annually. AKDN has mobilised over US$ 1 billion for economic, social and cultural development in Afghanistan. ","AKDN / Christian Richters "
"Inauguration of the Aga Khan Park, Toronto","His Highness the Aga Khan speaking at the inauguration of the Aga Khan Park.","AKDN / Moez Visram"
"Inauguration of Amir Aqsunqur Mosque, Cairo","His Highness the Aga Khan speaking at the inauguration of the restoration of the ""Blue Mosque"" in Cairo, 2 May 2015. ","AKTC / Gary Otte"
"Foundation stone laying ceremony for the Humayun’s Tomb Site Museum","The new museum will be ""at the juncture of three historically connected sites, Humayun's Tomb and its Gardens, Hazrat Nizamuddin Basti, and the Sundar Nursery,"" said His Highness the Aga Khan. ","AKDN / Narendra Swain   "
"Foundation stone laying ceremony for the Humayun’s Tomb Site Museum","The new museum will be ""at the juncture of three historically connected sites, Humayun's Tomb and its Gardens, Hazrat Nizamuddin Basti, and the Sundar Nursery,"" said His Highness the Aga Khan. ","AKDN / Narendra Swain    "
"Banquet hosted in honour of Governor Perry","His Highness the Aga Khan delivering a speech at a banquet hosted by the Governor of Texas Rick Perry in honour of His Highness' visit to Texas. ","AKDN / Zahur Ramji"
"Speech by President Firoz Rasul at the AKU Convocation in Nairobi, Kenya ","Aga Khan University President Firoz Rasul speaking at AKU’s convocation ceremony in Nairobi, Kenya. ","AKDN / Zahur Ramji"
"2015 Aga Khan University Convocation, Nairobi, Kenya","His Highness the Aga Khan speaking at AKU’s convocation ceremony in Nairobi, Kenya.","AKDN / Zahur Ramji"
"2015 Aga Khan University Convocation, Nairobi, Kenya","His Highness the Aga Khan speaking at AKU’s convocation ceremony in Nairobi, Kenya.","AKDN / Zahur Ramji"
"2015 AKU Convocation, Kampala, Uganda","At the graduation of 49 students from the School of Nursing and Midwifery and eight students from the Institute for Educational Development in Uganda, His Highness the Aga Khan spoke of the “multiplier effect” that they would have in building civil society. ","AKDN / Zahur Ramji"
"Speech by President Firoz Rasul at the 2015 AKU Convocation in Dar es Salaam","Aga Khan University President Firoz Rasul speaking at AKU’s convocation ceremony in Dar es Salaam, Tanzania.","AKDN / Aly Z. Ramji    "
"Aga Khan University Convocation, Dar es Salaam, 2015","His Highness the Aga Khan speaking at AKU’s convocation ceremony in Dar es Salaam, Tanzania.","AKDN / Zahur Ramji"
"Aga Khan University Convocation, Dar es Salaam, 2015","","AKDN / Aly Z. Ramji    "
"Statement at the London Conference on Afghanistan","His Highness the Aga Khan speaking at the 2014 London Conference on Afghanistan.","Patrick Tsui / FCO"
"Statement at the London Conference on Afghanistan","His Highness the Aga Khan speaking at the 2014 London Conference on Afghanistan. ","AKDN"
"Opening of the Aga Khan Museum and the Ismaili Centre, Toronto","Prime Minister of Canada opens the Aga Khan Museum and the Ismaili Centre, Toronto in the presence of His Highness the Aga Khan.","AKDN / Moez Visram"
"Opening of the Aga Khan Museum in Toronto","Prince Amyn Aga Khan speaking at the opening ceremony of the Aga Khan Museum in Toronto in the presence of His Highness the Aga Khan and Prime Minister of Canada Stephen Harper. ","AKDN / Zahur Ramji"
"Opening of the Aga Khan Museum and the Ismaili Centre, Toronto","His Highness the Aga Khan speaking at the opening ceremony of the Ismaili Centre Toronto and Aga Khan Museum.","AKDN / Moez Visram"
"Opening of the Aga Khan Baug, Versova","His Highness the Aga Khan speaking at the inauguration of the Aga Khan Baug at Versova, Mumbai, India. ","AKDN / Christopher Little    "
"The private sector in economic development","His Highness the Aga Khan, Kenya, October 1982.","AKDN / Christopher Little"
"Installation en tant que membre associé étranger de l’Académie des Beaux-Arts","His Highness the Aga Khan delivers an eulogy in memory of his predecessor, the Japanese architect Kenzo Tange.","AKDN/Gary Otte"
"Swiss-American Chamber of Commerce in Zürich","His Highness the Aga Khan.","AKDN / Gary Otte"
"North-South Prize Ceremony, Senate Hall, Parliament, Portugal","His Highness the Aga Khan addresses the North-South Prize Ceremony in the Senate Hall of the Portuguese Parliament as His Excellency Aníbal Cavaco Silva, the President of the Republic of Portugal and President of the Assembly of the Republic, Maria Assunção Esteves look on.","AKDN/ José Manuel Boavida Caria"
"North-South Prize Ceremony, Senate Hall, Parliament, Portugal","His Highness the Aga Khan addresses the North-South Prize Ceremony in the Senate Hall of the Portuguese Parliament as His Excellency Aníbal Cavaco Silva, the President of the Republic of Portugal and President of the Assembly of the Republic, Maria Assunção Esteves look on.","AKDN / José Manuel Boavida Caria    "
"Keynote remarks made at the MNCH Summit in Toronto","His Highness the Aga Khan speaking at the Aga Khan Award for Architecture ceremony, as Crown Prince Hassan Ibn Talal of Jordan (left) and Crown Prince Sidi Mohamed of Morocco look on. ","AKDN / Gary Otte"
"Keynote remarks made at the MNCH Summit in Toronto","His Highness the Aga Khan addresses the Summit on Maternal, Newborn and Child Health in Toronto. ","AKDN / Zahur Ramji"
"Keynote remarks made at the MNCH Summit in Toronto","His Highness the Aga Khan addresses the Summit on Maternal, Newborn and Child Health in Toronto.","AKDN / Zahur Ramji"
"Dinner hosted by the Globe and Mail, Canada's national newspaper","His Highness the Aga Khan.","AKDN / Gary Otte"
"The 30th General Assembly of International Press Institute","His Highness the Aga Khan delivering the keynote address to the 30th General Assembly of the International Press Institutes (IPI) in Nairobi, 02 March 1981. ","AKDN / Christopher Little    "
"The conference ""The role of hospitals in primary health care""","His Highness the Aga Khan delivering a speech at the opening session of the conference ""The role of hospitals in primary health care"".","AKDN"
"Lecture at the University of Virginia","His Highness the Aga Khan.","AKDN / Gary Otte"
"Luncheon in honour of the President of Kenya","His Highness the Aga Khan delivering a speech at the lunch hosted in his honour at the State House, Nairobi, Kenya, 12 October 1982. ","AKDN / Christopher Little    "
"Speech to the Kenyan social institutions in national development","His Highness the Aga Khan.","AKDN / Gary Otte"
"Speech to the Kenyan social institutions in national development","His Highness the Aga Khan speaking at the Kenyan Social Institutions lunch.","AKDN / Christopher Little    "
"Dinner hosted in honour the President of Kenya","His Highness the Aga Khan speaking in presence of President Moi at His Highness house in Nairobi, 07 October 1982. ","AKDN / Moez Visram"
"Dinner hosted in honour the President of Kenya","His Highness the Aga Khan speaking in presence of President Moi in Nairobi, 07 October 1982. ","AKDN / Christopher Little    "
"Speech concerning the Aga Khan social and development institutions","His Highness the Aga Khan and Minister of Natural Resources The Honorable Ali Mwinyi unveil the plaque marking the extension of the Aga Khan Hospital, Dar es Salaam, one of Tanzania’s Silver Jubilee projects, at a ceremony on November 25th, 1982. ","AKDN / Christopher Little    "
"Lunch given by Industrial Promotion and Development Company","His Highness the Aga Khan.","AKDN / Gary Otte"
"Speech to the Federation of Indian Chambers of Commerce","His Highness the Aga Khan speaking during the official dinner hosted by the Federation of Indian Chambers of Commerce (FICC) in New Delhi during his Silver Jubilee visit to India, 14 January 1983. ","AKDN / Christopher Little"
"Dinner in celebration of Aga Khan's Silver Jubilee, New Delhi","His Highness the Aga Khan speaking at the Silver Jubilee dinner in New Delhi, India, 14 January 1983.","AKDN / Christopher Little"
"International seminar sponsored by the Association of Builders and Developers (ABAD) on ""Shelter for the Homeless""","His Highness the Aga Khan with President Muhammad Zia-ul-Haq of Pakistan in discussion at the International Seminar on ""Shelter for the Homeless"" sponsored by the Association of Builders & Developers.  ","AKDN / Christopher Little    "
"Luncheon hosted by AKF and Aga Khan Social Welfare Institutions","His Highness the Aga Khan speaking at a luncheon hosted by the Social Institutions and the Aga Khan Foundation, Pakistan, Islamabad, 22 March 1983. ","AKDN / Christopher Little    "
"Lunch given by the Aga Khan Foundation, Toronto","His Highness the Aga Khan.","AKDN / Gary Otte"
"Lunch given by the Aga Khan Foundation, Toronto","His Highness the Aga Khan with (L to R) the Premier of Ontario, The Honorable Mr William Davies, and the Lieutenant-Governor of Ontario, John Aird, in conversation at a Community Luncheon hosted by AKF Canada in honour of His Highness Silver Jubilee. ","AKDN / Christopher Little"
"Inaugural session of the Enabling Environment Conference, Kenya","His Highness the Aga Khan delivering a speech at the Enabling Environment Conference Opening Ceremony in Nairobi, 21 October 1986, Kenya. ","AKDN / Aziz Islamshah    "
"Christina Paxson, President of Brown University, introduces His Highness the Aga Khan at the 88th Stephen A. Ogden Jr Memorial Lecture on International Affairs.","Brown President Christine Paxson speaking at the 88th Ogden Memorial Lecture in International Affairs at Brown University.","AKDN / Farhez Rayani"
"Stephen Ogden Lecture at Brown University","His Highness the Aga Khan delivers the 88th Ogden Memorial Lecture in International Affairs at Brown University.","AKDN / Aly Z. Ramji"
"Speech by The Right Honourable Stephen Harper on the Occasion of His Highness the Aga Khan’s Address to the Parliament of Canada at the House of Commons","The Right Honourable Stephen Harper, Prime Minister of Canada, welcomes His Highness the Aga Khan in the House of Commons before a gathering of Senators, Members of Parliament and distinguished guests.","AKDN / Gary Otte"
"Speech by The Right Honourable Stephen Harper on the Occasion of His Highness the Aga Khan’s Address to the Parliament of Canada at the House of Commons","The Right Honourable Stephen Harper, Prime Minister of Canada, welcomes His Highness the Aga Khan in the House of Commons before a gathering of Senators, Members of Parliament and distinguished guests.","AKDN / Gary Otte"
